tokens,examples
"('fantastic', 'adjective')","At the base of the whole process by which divinities and demons were created, and rites for their propitiation and placation established, lay Fear - fear stimulating the imagination to fantastic activity."
"('satisfactory', 'adjective')",The satisfactory results of the survey led to his promotion.
"('relieve', 'verb')",I was greatly relieved by the jury's verdict.
"('worldly', 'adjective')","These attributes, in spite of poverty and the strict integrity which shut him out from the more worldly successes, attracted to him many admirable persons, as naturally as sweet herbs draw bees, and as naturally he gave them the honey into which fifty years of hard experience had distilled no bitter drop."
"('subcontinent', 'noun')",subcontinent
"('edith', 'None')",edith
"('budget', 'noun')",limited budget
"('washington', 'None')",washington
"('misuse', 'verb')","“If that is true she would be the first case I have ever heard of, as most female captives are misused by the entire tribe.”"
"('prince', 'noun')","Truely, to see our Princes all alone, sitting at their meat, beleagred round with so many talkers, whisperers, and gazing beholders, unknowne what they are or whence they come, I have often rather pittied than envied them."
"('spirit', 'noun')","[…]  St. Bede's at this period of its history was perhaps the poorest and most miserable parish in the East End of London. Close-packed, crushed by the buttressed height of the railway viaduct, rendered airless by huge walls of factories, it at once banished lively interest from a stranger's mind and left only a dull oppression of the spirit."
"('diffuse', 'adjective')",Such a diffuse effort is unlikely to produce good results.
"('fletcher', 'None')",fletcher
"('effort', 'noun')","It took a lot of effort to find a decent-sized, fully-furnished apartment within walking distance of the office.   He made a conscious effort to not appear affected by the stories in the paper."
"('lauriergracht', 'noun')",lauriergracht
"('thierry', 'None')",thierry
"('blue-black-green', 'adjective')",blue-black-green
"('staffordshire', 'None')",staffordshire
"('overtly', 'adverb')",overtly
"('graceful', 'adjective')","The half-dozen pieces […] were painted white and carved with festoons of flowers, birds and cupids. […]  The bed was the most extravagant piece.  Its graceful cane halftester rose high towards the cornice and was so festooned in carved white wood that the effect was positively insecure, as if the great couch were trimmed with icing sugar."
"('ten', 'None')",ten
"('crest', 'noun')","I liked the man for his own sake, and even had he promised to turn out a celebrity it would have had no weight with me. I look upon notoriety with the same indifference as on the buttons on a man's shirt-front, or the crest on his note-paper."
"('jelly', 'noun')","Perfect jelly is of appetizing flavor; beautifully colored and translucent; tender enough to cut easily with a spoon, yet firm enough to hold its shape when turned from the glass."
"('no', 'verb')",no
"('physiotherapy', 'noun')",physiotherapy
"('typewriter', 'noun')","The typewriter got up and disappeared out a back door, and soon she come back with a man, and he said, ""Can I be of some help, Mr. Higgens?"""
"('near-surface', 'adjective')",near-surface
"('breach', 'noun')","Synonyms: break, rupture, fissure"
"('starting', 'noun')",constant startings and stoppings
"('clump', 'noun')",clump of trees
"('dishonesty', 'noun')","He added: ""We've always had spin, especially from Government. But this is not spin. This is dishonesty and so it's our rail media's urgent responsibility to call it out because non-specialist journalists across the country will report this and gradually these untruths will be accepted."
"('semi-skilled', 'adjective')",A disruption caused the first semi-skilled factory job to end in 145 cases  and as a result many of these workers experienced either a semi-skilled factory mobile profile or downward occupational mobility if they were not so lucky.
"('rambling', 'adjective')","Except that the house had an immensely large rambling loft at top, I made no other discoveries."
"('fret', 'verb')","At the beginning God gaue the dome him ſelfe / That Adam and Eue and all them that ſewed, / Shuld dye down right and dwell in pyne after, / If that they touched a tree and the frute eaten, / Adam afterwarde agaynſt hys defence / freet of that frute, and forſake as it were, / The loue of our lord and his lore bothe, [...]At the beginning God gave the judgment himself / That Adam and Eve and all them that ensued, / Should die down right and dwell in pain after, / If that they touched a tree and the fruit ate, / Adam afterward against his warning / Ate of that fruit, and forsook, as it were, / The love of our Lord and his lore both, [...]]"
"('grid', 'noun')",You can't turn off the building from here; you have to shut down the whole grid.
"('gandhara', 'None')",gandhara
"('necessitate', 'verb')",The early departure of her plane necessitated her waking up at 4 a.m.
"('widen', 'verb')",His eyes widened as her negligee fell to the floor.
"('chemistry', 'noun')",The aquatic chemistries of iron and manganese are similar; this “is reflected geologically in their common association in rocks of all kinds” .
"('wide', 'adjective')",We walked down a wide corridor.
"('1,257', 'None')","1,257"
"('policewoman', 'noun')",policewoman
"('estimation', 'noun')","According to my estimations, we should get to the border in five hours, give or take."
"('grizel', 'verb')",grizel
"('heir', 'noun')","Synonyms:  beneficiary, inheritor"
"('arnold', 'None')",arnold
"('colour', 'noun')",colour
"('maillezais', 'None')",maillezais
"('sweep', 'verb')","to sweep a floor, the street, or a chimney"
"('largely', 'adverb')","She smiled at Aristide, who smiled at her, and Jean, seeing them happy, smiled largely at them both."
"('altitude', 'noun')","Like most human activities, ballooning has sponsored heroes and hucksters and a good deal in between. For every dedicated scientist patiently recording atmospheric pressure and wind speed while shivering at high altitudes, there is a carnival barker with a bevy of pretty girls willing to dangle from a basket or parachute down to earth."
"('bother', 'verb')","Synonyms: annoy, disturb, irritate, put out, vex; see also Thesaurus:annoy"
"('exercise', 'verb')",to exercise troops or horses;  to exercise one's brain with a puzzle
"('occurrence', 'noun')","Since the mid-1980s, when Indonesia first began to clear its bountiful forests on an industrial scale in favour of lucrative palm-oil plantations, “haze” has become an almost annual occurrence in South-East Asia. The cheapest way to clear logged woodland is to burn it, producing an acrid cloud of foul white smoke that, carried by the wind, can cover hundreds, or even thousands, of square miles."
"('ave', 'None')",ave
"('power', 'noun')","If it is spirits who have power to suffer, it seems they would also have active powers to think and will."
"('blooming', 'adverb')",My train's late again. Blooming typical.
"('italy', 'None')",italy
"('affirmative', 'adjective')",an affirmative answer
"('tautening', 'noun')",tautenings of the vocal folds
"('pride', 'noun')",He took pride in his work.
"('grace', 'verb')",He graced the room with his presence.
"('somerville', 'None')",somerville
"('open', 'adjective')",Turn left after the second open door.
"('mystery', 'noun')",The truth behind the events remains a mystery.
"('restorative', 'noun')","Marianne’s joy was almost a degree beyond happiness, so great was the perturbation of her spirits and her impatience to be gone. Her unwillingness to quit her mother was her only restorative to calmness; and at the moment of parting her grief on that score was excessive."
"('sheffi', 'None')",sheffi
"('tell', 'verb')","All told, there were over a dozen.  Can you tell time on a clock?  He had untold wealth."
"('mitigation', 'noun')","Two golden hours, in which the astonishing news of the intended party was revealed to Louisa, with all of its contrivances, expenses, and mitigations, so far as they were elucidated, were given and said to be ""done in her honour;""..."
